,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
127858,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-04-16,73712,25009,3364,    3372,    3885,    -486
127859,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-04-09,70340,21124,3850,   -5183,   -6370,    -340
127860,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-04-02,75524,27494,4190,    5857,    4279,     217
127861,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-03-26,69667,23215,3973,    1626,    -493,    -440
127862,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-03-19,68041,23708,4413,  -23282,    -386,   -2198
127863,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-03-12,91323,24094,6611,   20508,    1917,      -2
127864,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-03-05,70816,22177,6612,    4465,    5829,    -391
127865,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-02-26,66351,16348,7004,   -3342,   -2822,    1520
127866,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-02-19,69693,19170,5483,    2780,    1967,    -251
127867,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-02-12,66913,17203,5734,    -225,   -1626,    -147
127868,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-02-05,67138,18829,5882,    1093,    1233,    -334
127869,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-01-29,66046,17596,6216,    2880,    1492,    -259
127870,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-01-22,63166,16105,6475,    1274,    1061,    -346
127871,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-01-15,61892,15044,6821,    1765,   -1089,      10
127872,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2013-01-08,60127,16133,6810,    3867,    3082,   -1370
127873,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-12-31,56261,13050,8180,   -2565,   -1293,    1493
127874,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-12-24,58825,14343,6688,  -61988,   -1506,    -596
128036,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-12-18,26916,1221,0,    4146,     330,       0
127875,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-12-18,120814,15849,7283,   17460,   -1061,    -986
127876,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-12-11,103354,16910,8270,    -572,    4246,    -493
128037,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-12-11,22770,891,0,   -3488,     614,       0
128038,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-12-04,26258,277,0,   -1684,    -369,    -736
127877,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-12-04,103926,12665,8762,   24000,    1892,   -2495
127878,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-11-27,79925,10773,11258,  -28113,    2026,     629
128039,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-11-20,27942,646,736,.,.,.
127879,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-11-20,108038,8747,10629,   35604,   -4231,    2231
127880,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-11-13,72434,12978,8398,     240,   -1756,    1473
127881,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-11-06,72194,14733,6925,   -2059,   -2049,    -245
127882,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-10-30,74253,16782,7171,      71,    -564,    -298
127883,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-10-23,74182,17347,7469,   -3737,   -3768,     756
127884,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-10-16,77919,21114,6713,   -1839,   -3291,   -1151
127885,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-10-09,79758,24405,7864,   -2760,   -2067,    2347
127886,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-10-02,82519,26472,5517,     471,   -2040,    1690
127887,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-09-25,82047,28512,3827,  -64744,   -1244,    -324
127888,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-09-18,146791,29756,4152,   31065,   -2518,    -241
128040,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-09-18,27225,486,1661,    4478,     245,     430
128041,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-09-11,22747,241,1231,    1112,       0,       0
127889,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-09-11,115726,32274,4393,    1951,   -1617,   -1290
127890,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-09-04,113775,33890,5683,    3226,    1047,     538
128042,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-09-04,21635,241,1231,    3137,    -245,       0
127891,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-08-28,110549,32843,5145,    8632,    2416,    -919
128043,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-08-28,18498,486,1231,    4518,    -253,       0
127892,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-08-21,101917,30427,6064,   19924,    3696,     640
128044,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-08-21,13980,739,1231,.,.,.
127893,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-08-14,81993,26731,5424,    3442,    1735,     796
127894,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-08-07,78551,24996,4628,    4850,    4943,     245
127895,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-07-31,73700,20053,4383,   -7309,    4730,     157
128045,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-07-24,10488,1295,1845,.,.,.
127896,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-07-24,81009,15322,4226,   13117,    2558,     -92
127897,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-07-17,67892,12765,4318,   -1897,   -2013,   -1027
127898,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-07-10,69789,14778,5345,    -970,   -2815,     503
127899,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-07-03,70759,17593,4842,    2902,     475,    -552
127900,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-06-26,67857,17118,5394,    1887,    1539,     529
127901,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-06-19,65970,15579,4865,  -49557,    1730,   -5959
127902,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-06-12,115527,13849,10824,   16205,   -1603,    -890
128046,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-06-12,22986,1151,1856,     246,     305,       0
128047,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-06-05,22740,846,1856,     -58,    -317,       0
127903,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-06-05,99322,15452,11714,     611,     454,    2077
127904,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-05-29,98712,14998,9638,   -2761,   -2612,     495
128048,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-05-29,22798,1163,1856,     349,      28,    -245
127905,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-05-22,101472,17610,9143,    -832,   -4880,     599
128049,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-05-22,22449,1135,2101,    1189,    -576,     740
127906,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-05-15,102304,22490,8543,   -1907,    4033,   -1862
128050,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-05-15,21260,1711,1361,     643,     745,     113
127907,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-05-08,104211,18457,10405,    5773,   -7135,    3652
128051,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-05-08,20617,966,1248,    4134,    -508,     291
128052,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-05-01,16483,1474,957,    1263,     657,     468
127908,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-05-01,98438,25592,6753,      -8,   -2639,     -39
128053,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-04-24,15220,817,489,    2231,     145,       3
127909,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-04-24,98447,28231,6792,   -2581,   -1930,     -84
127910,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-04-17,101027,30161,6876,   -1172,     451,   -2967
128054,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-04-17,12989,672,486,     630,     338,    -525
128055,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-04-10,12359,334,1011,.,.,.
127911,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-04-10,102199,29710,9843,   12776,    3081,    1840
127912,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-04-03,89424,26629,8003,    2289,    1555,    -635
127913,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-03-27,87135,25074,8638,   -1205,   -1601,      39
127914,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-03-20,88340,26675,8599,  -51867,   -7277,    2275
127915,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-03-13,140207,33952,6324,   24477,    2446,    -625
128056,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-03-13,22693,1218,1348,    3075,    -238,     369
128057,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-03-06,19618,1456,979,    1074,      77,       0
127916,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-03-06,115730,31506,6949,     935,     801,    1367
128058,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-02-28,18544,1379,979,     351,     560,    -246
127917,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-02-28,114795,30705,5582,    4119,    2396,    -598
128059,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-02-21,18193,819,1225,    -302,      57,       0
127918,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-02-21,110676,28308,6180,    4652,   -2528,     497
127919,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-02-14,106024,30836,5683,   13212,    2994,    1198
128060,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-02-14,18495,762,1225,    2764,     472,     246
128061,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-02-07,15731,290,979,     237,    -499,       0
127920,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-02-07,92812,27843,4485,     879,    2390,     547
127921,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-01-31,91933,25453,3938,     815,    2745,      46
128062,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-01-31,15494,789,979,    -522,   -2971,     123
128063,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-01-24,16016,3760,856,    4539,    1845,     491
127922,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-01-24,91118,22708,3893,   13989,    7335,      30
127923,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-01-17,77129,15374,3863,    7971,    1969,     171
128064,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-01-17,11477,1915,365,    1977,     714,       0
128065,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2012-01-10,9500,1201,365,.,.,.
127924,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-01-10,69158,13404,3692,   16227,    3842,    -467
127925,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2012-01-03,52931,9563,4159,    1734,    1743,    -703
127926,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2011-12-27,51197,7820,4862,      32,   -1168,     397
127927,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2011-12-20,51165,8987,4465,  -63248,   -3972,     533
127928,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2011-12-13,114413,12959,3932,   20204,    3510,    -779
128066,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2011-12-13,31870,2946,538,    1982,    1965,       0
127929,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2011-12-06,94208,9450,4711,    6007,    1858,    -948
128067,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2011-12-06,29888,981,538,     815,     981,       0
128068,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2011-11-29,29073,0,538,   -1571,    -980,       0
127930,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2011-11-29,88202,7592,5659,   -6516,   -2920,   -1685
128069,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2011-11-22,30644,980,538,   -2027,   -1474,       0
127931,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2011-11-22,94718,10511,7344,   -7284,   -4394,    3891
128070,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2011-11-15,32671,2454,538,    1360,       0,     246
127932,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2011-11-15,102002,14905,3454,    1382,     -97,    -518
128071,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2011-11-08,31311,2454,292,     901,     123,       0
127933,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2011-11-08,100620,15002,3971,    2264,   -1353,     372
127934,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2011-11-01,98356,16355,3599,    7842,    -205,   -1098
128072,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2011-11-01,30410,2331,292,    7382,     246,       0
127935,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2011-10-25,90514,16560,4697,    5518,    3194,     508
128073,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2011-10-25,23028,2085,292,    2951,     369,     292
128074,NASDAQ-100 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2011-10-18,20077,1716,0,    4800,     861,       0
127936,NASDAQ-100 Consolidated - CHICAGO MERCANTILE EXCHANGE,2011-10-18,84996,13366,4189,    9918,    4576,   -1135
