,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
646,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-09-11,218910,107537,39278,   29669,   -4332,  -10152
647,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-09-04,189241,111869,49430,   -1390,  -12268,    3365
648,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-08-28,190631,124137,46065,   -4662,   -3363,    5447
649,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-08-21,195293,127500,40618,   19006,   17625,   -2578
650,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-08-14,176287,109875,43196,   13851,   15240,    1455
651,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-08-07,162436,94635,41741,   17938,   14740,    -919
652,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-07-31,144498,79895,42660,   13203,   13155,    2363
653,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-07-24,131295,66740,40297,    8361,   15759,    3247
654,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-07-17,122934,50981,37050,    1699,   -3737,    1397
655,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-07-10,121235,54718,35653,   -4471,    4593,   -5124
656,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-07-03,125706,50125,40777,    3322,   10102,   -1405
657,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-06-26,122384,40023,42182,   -7850,   -1098,   -2397
658,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-06-19,130234,41121,44579,  -65241,   19932,  -22069
659,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-06-12,195475,21189,66648,   36642,    8610,    2897
660,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-06-05,158833,12579,63751,   16217,   -2209,   13436
661,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-05-29,142616,14788,50315,    2653,  -15211,    3418
662,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-05-22,139963,29999,46897,   -4038,  -21067,     565
663,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-05-15,144001,51066,46332,   -8107,  -21079,    -709
664,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-05-08,152108,72145,47041,    4359,  -16504,   10672
665,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-05-01,147749,88649,36369,    1010,    8052,    1813
666,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-04-24,146739,80597,34556,   -2057,   -3233,    -853
667,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-04-17,148796,83830,35409,   -5274,    4024,   -4968
668,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-04-10,154070,79806,40377,    2245,   -6184,    3706
669,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-04-03,151825,85990,36671,    4452,   -5625,    4630
670,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-03-27,147373,91615,32041,  -13014,   -5410,  -19793
671,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-03-20,160387,97025,51834,  -40332,   -1444,   20121
672,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-03-13,200719,98469,31713,   36712,    2111,   -2925
673,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-03-06,164007,96358,34638,    2788,   -7307,    9174
674,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-02-28,161219,103665,25464,   11379,   11432,    7931
675,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-02-21,149840,92233,17533,   -2045,   -1633,   -2592
676,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-02-14,151885,93866,20125,    3006,    -466,     888
677,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-02-07,148879,94332,19237,   -1236,   -3139,    -190
678,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-01-31,150115,97471,19427,   10391,    6528,   -2030
679,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-01-24,139724,90943,21457,    4403,    7597,   -7583
680,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-01-17,135321,83346,29040,    9407,    4625,    3845
681,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-01-10,125914,78721,25195,    8667,    8453,    1464
682,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2012-01-03,117247,70268,23731,    6037,    9966,   -3934
683,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-12-27,111210,60302,27665,    6393,    8255,    1360
684,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-12-20,104817,52047,26305,  -48479,   -8085,     602
685,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-12-13,153296,60132,25703,   10489,    6479,    1874
686,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-12-06,142807,53653,23829,   18047,   19346,    2064
687,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-11-29,124760,34307,21765,   -3432,   -9143,   -3725
