,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
113296,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-09-16,11473,3340,3131,    1512,   -2558,   -2496
113297,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-09-09,9961,5898,5627,    2528,    1347,    1546
113298,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-09-02,7433,4551,4081,    1328,    1438,     949
113299,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-08-26,6105,3113,3132,   -2360,   -1902,   -2315
113300,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-08-19,8465,5015,5447,    -473,     238,   -1125
113301,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-08-12,8938,4777,6572,   -1243,    -694,   -1170
113302,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-08-05,10181,5471,7742,   -5293,   -5738,   -4055
113303,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-07-29,15474,11209,11797,    3074,    3080,    3066
113304,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-07-22,12400,8129,8731,    2434,    2223,    1915
113305,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-07-15,9966,5906,6816,    4089,    2727,    3410
113306,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-07-08,5877,3179,3406,   -1354,   -1570,    -649
113307,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-07-01,7231,4749,4055,    3427,    3426,    2366
113308,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-06-24,3804,1323,1689,   -2337,   -1464,    -381
113309,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-06-17,6141,2787,2070,     -42,    -850,     288
113310,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-06-10,6183,3637,1782,    -206,    -207,     364
113311,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-06-03,6389,3844,1418,    -756,     113,    -293
113312,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-05-27,7145,3731,1711,   -1115,     156,      33
113313,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-05-20,8260,3575,1678,     842,    1347,     296
113314,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-05-13,7418,2228,1382,      15,   -1491,   -2262
113315,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-05-06,7403,3719,3644,    -361,    1071,     514
113316,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-04-29,7764,2648,3130,     319,     343,     435
113317,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-04-22,7445,2305,2695,     221,     222,    -130
113318,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-04-15,7224,2083,2825,     422,    -474,     443
113319,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-04-08,6802,2557,2382,    1738,   -1118,    -685
113320,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-04-01,5064,3675,3067,      96,     714,    -204
113321,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-03-25,4968,2961,3271,    -666,    -179,    -297
113322,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-03-18,5634,3140,3568,   -2323,   -1856,    -883
113323,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-03-11,7957,4996,4451,   -2499,   -1716,    -190
113324,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-03-04,10456,6712,4641,    3069,    2808,    2645
113325,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-02-25,7387,3904,1996,   -1622,   -1499,   -1602
113326,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-02-18,9009,5403,3598,   -1141,   -1194,    -825
113327,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-02-11,10150,6597,4423,    1584,    1669,    1171
113328,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-02-04,8566,4928,3252,   -1240,   -1294,   -1297
113329,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-01-28,9806,6222,4549,    -687,    -755,   -1082
113330,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-01-21,10493,6977,5631,    -616,    -676,    -527
113331,U.S. DOLLAR INDEX - NEW YORK COTTON EXCHANGE,1997-01-14,11109,7653,6158,    2130,    2335,    1754
