,Unnamed: 0.1,Unnamed: 0,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
157,11182.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-01-25,53390,27429,13637,   -3931,     125,   -6438
158,11183.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-01-18,57321,27304,20075,   -1740,    -447,   -2387
159,11184.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-01-11,59061,27751,22462,     786,      71,    1544
160,11185.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2022-01-04,58275,27680,20918,   -2078,     547,   -1746
161,10317.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-12-28,60353,27133,22664,   -4379,   -1169,   -4370
162,10318.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-12-21,64732,28302,27034,   -1568,     449,    2912
163,10319.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-12-14,66300,27853,24122,    1166,     797,    3128
164,10320.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-12-07,65134,27056,20994,    2749,   -1352,    1534
165,10321.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-11-30,62385,28408,19460,     832,   -2046,    2141
166,10322.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-11-23,61553,30454,17319,    -731,   -2812,    5066
167,10323.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-11-16,62284,33266,12253,    4418,    3006,    -377
168,10324.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-11-09,57866,30260,12630,    1358,    1390,    -876
169,10325.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-11-02,56508,28870,13506,   -1653,    -575,   -1037
170,10326.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-10-26,58161,29445,14543,    -409,   -1472,   -1530
171,10327.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-10-19,58570,30917,16073,    -774,    -794,   -4719
172,10328.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-10-12,59344,31711,20792,   -2765,    -703,   -6107
173,10329.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-10-05,62109,32414,26899,    -442,     506,     644
174,10330.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-09-28,62551,31908,26255,  -10864,   -1322,   -5757
175,10331.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-09-21,73415,33230,32012,   -2455,    -419,   -2704
176,10332.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-09-14,75870,33649,34716,    6846,    1466,    8882
177,10333.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-09-07,69024,32183,25834,    1952,   -1230,     478
178,10334.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-08-31,67072,33413,25356,    3244,     371,    1457
179,10335.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-08-24,63828,33042,23899,    1259,     918,     133
180,10336.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-08-17,62569,32124,23766,   -1702,     557,   -1982
181,10337.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-08-10,64271,31567,25748,    3186,     832,    3817
182,10338.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-08-03,61085,30735,21931,    1707,     216,    3207
183,10339.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-07-27,59378,30519,18724,    1717,    1990,    2308
184,10340.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-07-20,57661,28529,16416,    1519,    -465,    2783
185,10341.0,,PLATINUM - NEW YORK MERCANTILE EXCHANGE,2021-07-13,56142,28994,13633,     701,     604,   -1181
