,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All)
106212,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-11-25,61037,8153,31577,     319,    -989,     319
106213,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-11-18,60718,9142,31258,    -562,     390,    -169
106214,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-11-11,61280,8752,31427,    1581,     908,    3362
106215,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-11-04,59699,7844,28065,    2693,     957,     895
106216,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-10-28,57006,6887,27170,    1456,    -756,    1665
106217,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-10-21,55550,7643,25505,   -5418,   -3470,   -3161
106218,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-10-14,60968,11113,28666,     452,   -4396,     738
106219,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-10-07,60516,15509,27928,    3293,    3511,    3373
106220,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-09-30,57223,11998,24555,    5099,    3644,    2826
106221,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-09-23,52124,8354,21729,   -2805,   -4535,   -2556
106222,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-09-16,54929,12889,24285,  -22388,    3033,     604
106223,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-09-09,77317,9856,23681,   16881,     690,    1348
106224,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-09-02,60436,9166,22333,    6675,    1700,    1828
106225,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-08-26,53761,7466,20505,    3347,    1292,   -1161
106226,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-08-19,50414,6174,21666,   -1567,     927,    -940
106227,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-08-12,51981,5247,22606,   -5257,   -4000,   -5494
106228,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-08-05,57238,9247,28100,   13216,     582,    7671
106229,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-07-29,44022,8665,20429,    5663,    -977,    3407
106230,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-07-22,38359,9642,17022,    3352,     843,    1961
