,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
131,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-08-02,101415,124468,4663,-2182,192971,-2054,-23053,6845.0
132,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-07-26,96752,126650,-1213,-2075,195025,-1098,-29898,862.0
133,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-07-19,97965,128725,-6750,772,196123,512,-30760,-7522.0
134,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-07-12,104715,127953,-2426,6394,195611,-1852,-23238,-8820.0
135,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-07-05,107141,121559,110,548,197463,3927,-14418,-438.0
136,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-06-28,107031,121011,10884,-2006,193536,2271,-13980,12890.0
137,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-06-21,96147,123017,-17946,-17457,191265,-6110,-26870,-489.0
138,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-06-14,114093,140474,-5069,54038,197375,-50809,-26381,-59107.0
139,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-06-07,119162,86436,4682,7405,248184,35341,32726,-2723.0
140,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-05-31,114480,79031,31449,25792,212843,35718,35449,5657.0
141,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-05-24,83031,53239,5212,3635,177125,6201,29792,1577.0
142,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-05-17,77819,49604,13898,2408,170924,17066,28215,11490.0
143,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-05-10,63921,47196,61,-2041,153858,1925,16725,2102.0
144,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-05-03,63860,49237,-3529,1974,151933,-4833,14623,-5503.0
145,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-04-26,67389,47263,-6321,-4783,156766,-8637,20126,-1538.0
146,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-04-19,73710,52046,-7872,-14576,165403,-10502,21664,6704.0
147,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-04-12,81582,66622,2854,-11196,175905,3193,14960,14050.0
148,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-04-05,78728,77818,3647,-5510,172712,14933,910,9157.0
149,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-03-29,75081,83328,16931,7127,157779,23013,-8247,9804.0
150,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-03-22,58150,76201,18986,26461,134766,32017,-18051,-7475.0
151,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-03-15,39164,49740,-36856,26737,102749,-63684,-10576,-63593.0
152,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-03-08,76020,23003,1049,-9590,166433,11769,53017,10639.0
153,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-03-01,74971,32593,2125,-23428,154664,-16635,42378,25553.0
154,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-02-22,72846,56021,13361,5510,171299,20201,16825,7851.0
155,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2022-02-15,59485,50511,14388,6658,151098,16841,8974,7730.0
