,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
568,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-03-18,25311,10195,    2214,   -3945,49391,  -17498,15116,6159.0
569,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-03-11,23097,14140,    1279,   -5510,66889,    6357,8957,6789.0
570,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-03-04,21818,19650,    2422,     612,60532,    5375,2168,1810.0
571,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-02-25,19396,19038,    5208,    2022,55157,    4154,358,3186.0
572,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-02-18,14188,17016,    2022,    5405,51003,    8570,-2828,-3383.0
573,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-02-11,12166,11611,   -1070,     595,42433,     515,555,-1665.0
574,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-02-04,13236,11016,    1847,    -814,41918,    1049,2220,2661.0
575,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-01-28,11389,11830,    -256,   -1736,40869,   -1241,-441,1480.0
576,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-01-21,11645,13566,    -956,   -1976,42110,    -681,-1921,1020.0
577,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-01-14,12601,15542,   -6212,    1456,42791,     704,-2941,-7668.0
578,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2014-01-07,18813,14086,   -7694,   -1532,42087,   -9052,4727,-6162.0
579,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-12-31,26507,15618,     -30,    1001,51139,       8,10889,-1031.0
580,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-12-24,26537,14617,    1245,    1280,51131,    3764,11920,-35.0
581,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-12-17,25292,13337,    3079,    3122,47367,  -17139,11955,-43.0
582,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-12-10,22213,10215,    7724,    2273,64506,   18644,11998,5451.0
583,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-12-03,14489,7942,    1477,    -418,45862,    3441,6547,1895.0
584,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-11-26,13012,8360,     -86,   -1069,42421,     651,4652,983.0
585,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-11-19,13098,9429,   -1024,   -1504,41770,   -2629,3669,480.0
586,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-11-12,14122,10933,   -6357,   -1451,44399,   -8353,3189,-4906.0
587,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-11-05,20479,12384,   -2248,    1108,52752,   -1953,8095,-3356.0
588,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-10-29,22727,11276,     552,      32,54705,    2303,11451,520.0
589,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-10-22,22175,11244,     418,     254,52402,    2115,10931,164.0
590,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-10-15,21757,10990,    1444,    1092,50287,    -730,10767,352.0
591,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-10-08,20313,9898,    2415,   -1364,51017,    5719,10415,3779.0
592,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-10-01,17898,11262,    2769,    1878,45298,    5786,6636,891.0
593,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-09-24,15129,9384,    5137,       8,39512,   10418,5745,5129.0
594,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-09-17,9992,9376,    -606,    -802,29094,   -9666,616,196.0
595,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-09-10,10598,10178,    -211,     428,38760,   -1331,420,-639.0
596,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-09-03,10809,9750,    -787,   -1444,40091,   -1591,1059,657.0
597,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-08-27,11596,11194,    -465,    -576,41682,     544,402,111.0
598,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-08-20,12061,11770,    1435,    3280,41138,    3554,291,-1845.0
599,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-08-13,10626,8490,    1870,    -591,37584,    2642,2136,2461.0
600,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-08-06,8756,9081,    -775,   -1711,34942,     843,-325,936.0
601,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-07-30,9531,10792,    3192,    -980,34099,    -807,-1261,4172.0
602,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-07-23,6339,11772,   -4415,   -3951,34906,   -5352,-5433,-464.0
603,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-07-16,10754,15723,   -1553,    1640,40258,     821,-4969,-3193.0
604,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-07-09,12307,14083,    3388,    5048,39437,    7642,-1776,-1660.0
605,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-07-02,8919,9035,   -1013,    1567,31795,     318,-116,-2580.0
606,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-06-25,9932,7468,   -5045,   -1718,31477,   -2369,2464,-3327.0
607,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-06-18,14977,9186,    8401,  -18128,33846,  -31398,5791,26529.0
608,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2013-06-11,6576,27314,     705,   -4360,65244,     692,-20738,5065.0
