,Market and Exchange Names,As of Date in Form YYYY-MM-DD,Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Open Interest (All),Change in Open Interest (All),Net Positions,Change Net Positions
189,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-05-17,9564,8758,     775,     672,11644,     803,806,103.0
190,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-05-10,8789,8086,     668,     353,10841,     790,703,315.0
191,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-05-03,8121,7733,    -408,    -384,10051,    -658,388,-24.0
192,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-04-26,8529,8117,     266,    -340,10709,    -567,412,606.0
193,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-04-19,8263,8457,      56,     417,11276,     644,-194,-361.0
194,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-04-12,8207,8040,    -604,   -1015,10632,    -742,167,411.0
195,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-04-05,8811,9055,    -911,    -938,11374,    -650,-244,27.0
196,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-03-29,9722,9993,    1297,    1568,12024,     750,-271,-271.0
197,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-03-22,8425,8425,     436,     626,11274,    1076,0,-190.0
198,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-03-15,7989,7799,     229,     304,10198,     607,190,-75.0
199,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-03-08,7760,7495,    -221,    -406,9591,    -389,265,185.0
200,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-03-01,7981,7901,    -520,    -883,9980,   -1027,80,363.0
201,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-02-22,8501,8784,     194,     262,11007,     361,-283,-68.0
202,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-02-15,8307,8522,     556,     452,10646,     760,-215,104.0
203,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-02-08,7751,8070,    -233,     227,9886,     -62,-319,-460.0
204,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-02-01,7984,7843,    -694,    -869,9948,   -1808,141,175.0
205,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-01-25,8678,8712,     261,    -254,11756,     288,-34,515.0
206,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-01-18,8417,8966,     392,     564,11468,     613,-549,-172.0
207,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-01-11,8025,8402,     258,      31,10855,     292,-377,227.0
208,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-01-04,7767,8371,    -962,    -900,10563,   -1905,-604,-62.0
209,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-12-28,8729,9271,     135,    -201,12468,    -384,-542,336.0
210,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-12-21,8594,9472,   -1201,   -1095,12852,    -666,-878,-106.0
211,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-12-14,9795,10567,     215,      79,13518,     276,-772,136.0
212,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-12-07,9580,10488,      54,    -729,13242,      45,-908,783.0
213,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-11-30,9526,11217,     472,    2003,13197,   -1160,-1691,-1531.0
214,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-11-23,9054,9214,     405,    -913,14357,     709,-160,1318.0
215,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-11-16,8649,10127,    -609,    -598,13648,    -173,-1478,-11.0
216,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-11-09,9258,10725,     196,      51,13821,     309,-1467,145.0
217,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-11-02,9062,10674,    1941,    -859,13512,   -3159,-1612,2800.0
218,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-10-26,7121,11533,      52,    1618,16671,    3066,-4412,-1566.0
219,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-10-19,7069,9915,     225,    1645,13605,    2687,-2846,-1420.0
220,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-10-12,6844,8270,    1263,    1171,10918,    2032,-1426,92.0
221,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-10-05,5581,7099,    1042,    1677,8886,    1847,-1518,-635.0
222,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-09-28,4539,5422,     163,      21,7039,    -309,-883,142.0
223,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-09-21,4376,5401,     510,     348,7348,     728,-1025,162.0
224,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-09-14,3866,5053,    -304,    -211,6620,     -39,-1187,-93.0
225,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-09-07,4170,5264,     104,     106,6659,     297,-1094,-2.0
226,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-08-31,4066,5158,    -426,    -448,6362,   -1153,-1092,22.0
227,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-08-24,4492,5606,    -312,      76,7515,     152,-1114,-388.0
228,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-08-17,4804,5530,     436,      58,7363,     594,-726,378.0
229,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-08-10,4368,5472,     501,     315,6769,     361,-1104,186.0
230,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-08-03,3867,5157,     124,    -158,6408,   -1394,-1290,282.0
231,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-07-27,3743,5315,   -1661,   -1281,7802,    -481,-1572,-380.0
232,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-07-20,5404,6596,     928,     953,8283,    1154,-1192,-25.0
233,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-07-13,4476,5643,     458,     354,7129,     240,-1167,104.0
234,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-07-06,4018,5289,     220,     146,6889,     101,-1271,74.0
235,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-06-29,3798,5143,    -704,    -887,6788,   -1126,-1345,183.0
236,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-06-22,4502,6030,     182,     101,7914,     386,-1528,81.0
237,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-06-15,4320,5929,    -484,     -56,7528,     -38,-1609,-428.0
238,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-06-08,4804,5985,     435,     174,7566,     248,-1181,261.0
239,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-06-01,4369,5811,    -655,    -885,7318,   -1575,-1442,230.0
240,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-05-25,5024,6696,   -1251,    -538,8893,    -267,-1672,-713.0
241,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-05-18,6275,7234,    1612,     633,9160,     901,-959,979.0
242,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-05-11,4663,6601,    -301,    -127,8259,     -47,-1938,-174.0
243,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-05-04,4964,6728,     533,     388,8306,    -123,-1764,145.0
244,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-04-27,4431,6340,    -716,   -1079,8429,    -388,-1909,363.0
245,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-04-20,5147,7419,    -641,    -834,8817,    -836,-2272,193.0
246,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-04-13,5788,8253,    -150,      23,9653,    -212,-2465,-173.0
247,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-04-06,5938,8230,     262,     339,9865,     543,-2292,-77.0
248,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-03-30,5676,7891,     135,     -55,9322,    -575,-2215,190.0
249,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-03-23,5541,7946,     744,     497,9897,     562,-2405,247.0
250,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-03-16,4797,7449,    -147,     592,9335,     550,-2652,-739.0
251,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-03-09,4944,6857,     477,     539,8785,     717,-1913,-62.0
252,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-03-02,4467,6318,   -2092,   -2326,8068,   -2504,-1851,234.0
253,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-02-23,6559,8644,    -113,    -921,10572,    -854,-2085,808.0
254,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-02-16,6672,9565,     345,     394,11426,     371,-2893,-49.0
255,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-02-09,6327,9171,     985,    1155,11055,    1586,-2844,-170.0
256,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-02-02,5342,8016,    -972,   -1079,9469,   -1318,-2674,107.0
257,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-01-26,6314,9095,   -1092,   -1440,10787,   -1158,-2781,348.0
258,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-01-19,7406,10535,     100,    -104,11945,     -94,-3129,204.0
259,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-01-12,7306,10639,     367,     715,12039,     743,-3333,-348.0
260,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-01-05,6939,9924,     491,     643,11296,     643,-2985,-152.0
261,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-12-29,6448,9281,    -860,   -1717,10653,   -1950,-2833,857.0
262,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-12-21,7308,10998,     908,    1638,12603,    1233,-3690,-730.0
263,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-12-15,6400,9360,    -480,    -742,11370,    -380,-2960,262.0
264,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-12-08,6880,10102,    -507,    -287,11750,     -62,-3222,-220.0
265,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-12-01,7387,10389,    -898,    -348,11812,    -524,-3002,-550.0
266,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-11-24,8285,10737,     370,     311,12336,     827,-2452,59.0
267,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-11-17,7915,10426,    -142,      73,11509,     198,-2511,-215.0
268,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-11-10,8057,10353,     505,    -275,11311,      33,-2296,780.0
269,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-11-03,7552,10628,    -998,   -1245,11278,   -1387,-3076,247.0
270,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-10-27,8550,11873,    1220,    1882,12665,    1769,-3323,-662.0
271,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-10-20,7330,9991,    1428,    1684,10896,    1543,-2661,-256.0
272,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-10-13,5902,8307,    1442,    1712,9353,    1842,-2405,-270.0
273,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-10-06,4460,6595,     341,     425,7511,     187,-2135,-84.0
274,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-09-29,4119,6170,      41,    -384,7324,   -1102,-2051,425.0
275,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-09-22,4078,6554,   -1044,   -1448,8426,    -957,-2476,404.0
276,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-09-15,5122,8002,     479,    1049,9383,    1185,-2880,-570.0
277,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-09-08,4643,6953,   -2137,   -2386,8198,   -2419,-2310,249.0
278,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-09-01,6780,9339,    -137,     265,10617,    -998,-2559,-402.0
279,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-08-25,6917,9074,   -1715,   -3108,11615,   -2839,-2157,1393.0
280,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-08-18,8632,12182,     176,     645,14454,    1364,-3550,-469.0
281,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-08-11,8456,11537,    -261,    -435,13090,     387,-3081,174.0
282,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-08-04,8717,11972,     -92,     -81,12703,    -365,-3255,-11.0
283,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-07-28,8809,12053,    1985,    3529,13068,    3838,-3244,-1544.0
284,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-07-21,6824,8524,     501,     891,9230,     908,-1700,-390.0
285,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-07-14,6323,7633,     303,     128,8322,     157,-1310,175.0
286,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-07-07,6020,7505,     324,     583,8165,     490,-1485,-259.0
287,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-06-30,5696,6922,    -944,   -1515,7675,   -1655,-1226,571.0
288,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-06-23,6640,8437,     258,     491,9330,     546,-1797,-233.0
289,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-06-16,6382,7946,    -435,    -814,8784,    -781,-1564,379.0
290,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-06-09,6817,8760,     903,     694,9565,     741,-1943,209.0
291,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-06-02,5914,8066,    -120,     382,8824,     102,-2152,-502.0
292,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-05-26,6034,7684,   -1308,   -2242,8722,   -2156,-1650,934.0
293,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-05-19,7342,9926,     736,     989,10878,     939,-2584,-253.0
294,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-05-12,6606,8937,    1600,    2206,9939,    2155,-2331,-606.0
295,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-05-05,5006,6731,    1372,    1503,7784,    1673,-1725,-131.0
296,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-04-28,3634,5228,     225,     286,6111,     463,-1594,-61.0
297,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-04-21,3409,4942,      40,      67,5648,     110,-1533,-27.0
298,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-04-14,3369,4875,     -11,      85,5538,      90,-1506,-96.0
299,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-04-07,3380,4790,     782,    1487,5448,    1501,-1410,-705.0
300,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-03-31,2598,3303,     332,     165,3947,      38,-705,167.0
301,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-03-24,2266,3138,    -624,    -738,3909,    -565,-872,114.0
302,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2020-03-17,2890,3876,     506,     446,4474,     106,-986,60.0
